GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lab4,cs.lab,DataSubject,0,39,0,2,0,11,0,6,0,5
lab4,cs.lab,BarChartMonitor,22,0,0,0,6,0,3,0,3,0
lab4,cs.lab,PieChartMonitor,0,70,0,0,0,16,0,3,0,3
